#,선수명,팀명,경기,타석,타수,안타,홈런,득점,타점,볼넷,삼진,도루,BABIP,타율,출루율,장타율,OPS,Woba,WAR
245,강태율,롯데,19,31,26,2,1,1,5,4,10,0,0.063,0.077,0.194,0.231,0.425,0.204,-0.27
246,프레이타스,Hero,43,148,139,36,2,13,14,7,29,0,0.312,0.259,0.297,0.374,0.671,0.303,-0.28
247,김호은,LG,7,9,9,0,0,0,0,0,4,0,0,0,0,0,0,0,-0.28
248,김현민,한화,5,12,12,1,0,0,0,0,4,0,0.125,0.083,0.083,0.083,0.166,0.077,-0.29
249,최승민,NC,48,34,31,7,0,8,1,1,7,4,0.292,0.226,0.25,0.258,0.508,0.236,-0.3
250,문성주,LG,31,89,79,18,1,11,10,7,15,1,0.266,0.228,0.303,0.278,0.581,0.28,-0.31
251,강로한,롯데,21,35,33,4,2,7,4,2,18,0,0.154,0.121,0.171,0.303,0.474,0.209,-0.31
252,박민,KIA,18,38,35,6,0,3,3,2,10,0,0.24,0.171,0.237,0.2,0.437,0.216,-0.32
253,임지열,Hero,19,30,25,3,0,5,0,4,10,0,0.2,0.12,0.267,0.12,0.387,0.221,-0.33
254,오선우,KIA,9,16,15,1,0,1,0,1,9,0,0.167,0.067,0.125,0.067,0.192,0.106,-0.33
255,고종욱,SSG,88,199,180,48,2,25,18,16,30,2,0.307,0.267,0.323,0.328,0.651,0.304,-0.34
256,이성열,한화,46,140,119,25,2,15,20,18,36,1,0.277,0.21,0.314,0.328,0.642,0.304,-0.34
257,조용호,KT,138,515,428,101,0,71,48,74,85,12,0.29,0.236,0.349,0.273,0.622,0.31,-0.35
258,김규성,KIA,54,41,36,5,0,8,2,5,17,0,0.263,0.139,0.244,0.167,0.411,0.215,-0.35
259,김성윤,삼성,30,19,18,3,0,7,2,0,5,0,0.214,0.167,0.158,0.167,0.325,0.145,-0.36
260,박정음,Hero,70,18,14,0,0,19,1,2,3,4,0,0,0.167,0,0.167,0.13,-0.36
261,김도환,삼성,25,46,41,6,0,1,1,2,20,0,0.286,0.146,0.222,0.195,0.417,0.207,-0.37
262,이우성,KIA,65,100,85,17,0,12,4,13,17,2,0.246,0.2,0.303,0.259,0.562,0.277,-0.4
263,김휘집,Hero,34,89,70,9,1,9,8,13,23,1,0.17,0.129,0.279,0.186,0.465,0.248,-0.4
264,장지승,한화,24,72,61,11,1,7,5,7,24,2,0.27,0.18,0.271,0.246,0.517,0.253,-0.41
265,나지완,KIA,31,102,81,13,0,3,7,14,29,0,0.245,0.16,0.324,0.173,0.497,0.273,-0.41
266,구본혁,LG,123,45,38,5,0,10,3,3,7,0,0.152,0.132,0.205,0.184,0.389,0.191,-0.41
267,최민재,롯데,21,27,25,2,0,2,2,2,8,2,0.118,0.08,0.148,0.12,0.268,0.138,-0.41
268,정진기,SSG,2,7,7,0,0,0,0,0,2,0,0,0,0,0,0,0,-0.41
269,황대인,KIA,86,308,282,67,13,30,45,18,62,0,0.255,0.238,0.283,0.418,0.701,0.308,-0.43
270,이천웅,LG,67,210,180,36,2,20,16,25,23,3,0.218,0.2,0.306,0.272,0.578,0.284,-0.43
271,김재성,LG,58,73,65,9,1,6,3,5,13,1,0.154,0.138,0.208,0.246,0.454,0.212,-0.43
272,허정협,Hero,29,52,45,7,0,5,2,7,10,0,0.2,0.156,0.269,0.156,0.425,0.228,-0.44
273,정진기,NC,86,199,186,43,6,27,21,10,37,6,0.259,0.231,0.274,0.371,0.645,0.289,-0.46
274,김태훈,KT,44,91,87,20,1,6,6,2,19,1,0.284,0.23,0.256,0.333,0.589,0.264,-0.47
275,이동훈,한화,33,62,53,10,0,8,2,3,12,2,0.244,0.189,0.259,0.208,0.467,0.232,-0.47
276,나승엽,롯데,60,128,113,23,2,16,10,14,33,1,0.266,0.204,0.289,0.274,0.563,0.271,-0.48
277,김지수,한화,11,25,24,2,0,0,0,1,14,0,0.2,0.083,0.12,0.125,0.245,0.118,-0.48
278,나주환,KIA,19,32,31,5,0,0,3,0,12,0,0.25,0.161,0.156,0.161,0.317,0.143,-0.5
279,김기환,NC,62,149,140,29,3,19,13,8,45,15,0.283,0.207,0.25,0.35,0.6,0.268,-0.52
280,박대온,NC,42,95,85,18,0,4,5,4,21,0,0.273,0.212,0.242,0.224,0.466,0.219,-0.54
281,이성곤,삼성,2,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.55
282,이해창,한화,20,60,54,9,0,4,4,1,13,0,0.214,0.167,0.193,0.222,0.415,0.19,-0.56
283,이원재,NC,31,69,65,15,0,3,7,1,11,1,0.273,0.231,0.25,0.262,0.512,0.236,-0.57
284,이홍구,KT,37,58,55,9,1,4,5,2,28,0,0.296,0.164,0.19,0.218,0.408,0.177,-0.58
285,김창평,SSG,40,28,25,2,0,6,1,1,6,2,0.105,0.08,0.115,0.08,0.195,0.1,-0.59
286,정진호,한화,47,167,145,33,0,9,15,15,22,4,0.264,0.228,0.301,0.29,0.591,0.278,-0.6
287,노태형,한화,18,49,43,5,0,6,1,6,15,0,0.179,0.116,0.224,0.14,0.364,0.196,-0.6
288,정의윤,SSG,62,178,165,38,7,21,24,11,37,0,0.252,0.23,0.275,0.37,0.645,0.286,-0.61
289,박주홍,Hero,23,56,47,5,0,4,3,9,21,1,0.192,0.106,0.25,0.149,0.399,0.219,-0.61
290,김동엽,삼성,69,203,185,44,4,20,24,10,42,2,0.28,0.238,0.286,0.351,0.637,0.289,-0.64
291,장운호,한화,102,338,285,67,0,36,28,36,77,3,0.318,0.235,0.332,0.27,0.602,0.297,-0.68
292,오재원,두산,45,79,72,12,0,6,5,6,18,2,0.218,0.167,0.228,0.208,0.436,0.211,-0.68
293,이도윤,한화,56,68,63,11,0,5,2,4,18,1,0.244,0.175,0.224,0.175,0.399,0.197,-0.72
294,박정현,한화,33,120,107,21,0,10,9,9,32,1,0.276,0.196,0.256,0.234,0.49,0.236,-0.74
295,보어,LG,32,117,100,17,3,7,17,11,30,0,0.2,0.17,0.265,0.28,0.545,0.259,-0.74
296,변상권,Hero,72,171,159,38,0,19,20,9,40,0,0.311,0.239,0.275,0.321,0.596,0.27,-0.76
297,예진원,Hero,52,132,114,18,1,16,8,12,28,0,0.198,0.158,0.248,0.254,0.502,0.241,-0.9
298,이원석,한화,43,130,114,20,1,12,9,8,43,4,0.264,0.175,0.238,0.228,0.466,0.224,-0.96
299,유장혁,한화,34,112,98,14,1,11,7,8,39,2,0.217,0.143,0.218,0.224,0.442,0.213,-0.96
300,임종찬,한화,42,146,131,20,1,9,8,12,49,0,0.235,0.153,0.229,0.214,0.443,0.217,-1.47
